"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Follow the complete redirect chain and assert the final URL and page content.","314","Three Redirects Finish On The Expected Local Page","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"A missing page is reported even when its pixel canvas would be blank.","35","Additional Blank Page Fails Visual Comparison","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"Wait for the download before clicking and validate both the suggested name and the downloaded CSV contents.","334","Download Promise Captures The File Triggered By The Link","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Change an ID and remove a debug field on a returned copy, then assert the expected JSON.","2","Runtime Keywords Return A Modified Copy","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"","4772","Alice Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Parallel","",""
"Export a raster PDF and verify the original searchable text is absent. Preview the output in the dashboard.","105","Redacted PDF Has No Original Text Layer","","2026-09-10","passed","2026-09-10","Redaction","PDF Examples","",""
"Exercise the basic equality result before adding filters or runtime modifications.","2","Equal JSON Documents Produce No Differences","Module Examples","2026-09-10","passed","2026-09-10","Json Comparison","Json","",""
"Reject the confirmation dialog and verify the booking remains.","328","Confirmation Can Be Dismissed To Keep The Booking","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Use a CSS locator when a semantic page mapping is unnecessary; check the actual input value.","262","Technical Locator Can Be Used Directly Without A Semantic Mapping","UI Examples","2026-09-10","passed","2026-09-10","02 Automatic Page And Method Resolution","UI components","",""
"Catch an intentional XML mismatch and require a saved report for later diagnosis.","3","XML Assertion Persists Differences","Module Examples","2026-09-10","passed","2026-09-10","Xml Comparison","Xml","",""
"","1759","Dan Books API Testing","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"Modify a tag and remove the debug element on a returned copy before checking the result.","2","Runtime XML Keywords Set And Remove Tags","Module Examples","2026-09-10","passed","2026-09-10","Xml Comparison","Xml","",""
"","4535","Bob Books API Testing","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Parallel","",""
"Register the response promise before the action to avoid a race, then assert HTTP status, data and visible feedback.","745","AJAX Wait Is Registered Before The Click And Checks Response And UI","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"","3","Small numbers","Module Examples","2026-09-10","passed","2026-09-10","Standalone","Data-Driven","",""
"Perform a real pointer drag and verify the application accepts the dropped workshop.","376","Drag And Drop Adds A Workshop To The Target","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"A red rectangle becomes blue while text stays identical. Expect a pixel difference.","31","Graphic Color Changes Fail Visual Comparison","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"After the app replaces a DOM node, reuse its selector and verify the replacement receives the new value.","449","Locator Finds The Replacement DOM Element On The Next Action","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"Reveal a hover menu, activate its action and assert the resulting content.","473","Hover Reveals A Menu Action","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Compare the same unequal page counts, explicitly excluding original page 2.","10","Excluded Page Does Not Affect Equality","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"Address an open shadow root using a CSS locator; verify the component displays the entered text.","297","CSS Locator Reaches An Input Inside An Open Shadow Root","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Use the frame selector to interact with the embedded document instead of the parent page.","319","Frame Selector Addresses Only The Embedded Form","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"The invalid password must show an error without navigating; a valid retry must recover within the same browser context.","1849","Invalid Login Shows An Error And A Valid Retry Opens The Workshop","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"Assert an intentional short timeout, restore the normal timeout and verify successful navigation.","900","Slow Navigation Has A Bounded Timeout And Then Succeeds On Retry","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Use configured filters and transformations; compare the input file before and after to prove it is not rewritten.","5","Configured Files Match Without Changing Test Data","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"The name and date differ. Catch the expected failure and show the HTML/JSON evidence.","54","Changed Text Produces A Readable Difference","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"Configure the synthetic HTTP credentials on a new context and verify the protected local page opens.","371","HTTP Authentication Uses Explicit Context Credentials","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Upload the versioned preparation file and verify the app reads both its filename and contents.","283","File Upload Reads The Selected Local Fixture","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Demonstrate Playwright actionability waiting against a disabled control, with no fixed sleep in the test.","1191","Click Automatically Waits Until A Delayed Button Is Enabled","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"Limit comparison to the status field and ignore unrelated fixture differences.","2","Whitelist Selects Only Business Fields","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"","1918","Alice Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"These are demonstration messages. An ERROR log line alone is not a failed assertion.","21","Logging Levels Are Visible In The Report","Module Examples","2026-09-10","passed","2026-09-10","Logging","Core","",""
"A second blank page is still a structural difference; detecting it is the expected outcome.","13","Additional Blank Page Is A Difference","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"Expanded input/select/click steps reveal the mechanics hidden by the higher levels.","1757","Low Level - Booking Uses Only Individual Technical Actions","UI Examples","2026-09-10","passed","2026-09-10","01 Keyword Levels","UI components","",""
"Follow the same semantic Continue action across login and booking, and verify both resolved selectors and customer overrides.","1956","Same Continue Name Resolves To Different Locators On Two Pages","UI Examples","2026-09-10","passed","2026-09-10","02 Automatic Page And Method Resolution","UI components","",""
"Install the dialog handler first so the browser can accept the alert raised by the click.","335","Alert Is Accepted Before The Triggering Click","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Export a PNG with an opaque black region and inspect a pixel inside that region.","10","Screenshot Regions Are Opaque Black","","2026-09-10","passed","2026-09-10","Redaction","PDF Examples","",""
"Coordinates outside 0–100 percent are rejected before comparison; no equality claim is produced.","15","Malformed Masks Fail Clearly","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"Compare two owned JSON fixtures and verify the public API returns a structured difference summary.","2","Different JSON Documents Produce A Structured Diff","Module Examples","2026-09-10","passed","2026-09-10","Json Comparison","Json","",""
"Verify that a reload retains a user cookie and session storage in the same context.","1528","Cookies And Session Storage Survive Reload Within A Context","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Sign in as two participants in separate contexts and show that their cookies and state stay isolated.","2652","Two Contexts Keep Their Participants Cookies And Storage Separate","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Stop after one differing page; the report records that the comparison limit was reached.","19","Difference Limit Stops After One Affected Page","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"","4588","Dan Books API Testing","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Parallel","",""
"","944","First local page","Module Examples","2026-09-10","passed","2026-09-10","Browser Composition","Data-Driven","",""
"Prove that an absent customer override falls back to Default Fill Text and still enters the intended value.","350","Missing Customer Fill Method Uses The Playbot Default","UI Examples","2026-09-10","passed","2026-09-10","02 Automatic Page And Method Resolution","UI components","",""
"","4","Negative","Module Examples","2026-09-10","passed","2026-09-10","Standalone","Data-Driven","",""
"","1760","Carol Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"The same documents pass when explicitly configured dynamic fields are masked.","19","Configured Page And Text Masks Ignore Dynamic Fields","","2026-09-10","passed","2026-09-10","Text Comparison","PDF Examples","",""
"Accept the confirmation dialog and verify the booking is cancelled.","333","Confirmation Can Be Accepted To Cancel The Booking","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Stop at one difference and verify the report explicitly records the reached limit.","3","Configured Discrepancy Limit Is Recorded","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"Demonstrate URL credentials against the local fixture, using only public demo credentials.","286","HTTP Authentication Also Accepts Local Demo Credentials In The URL","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Apply the owned tag-filter/replacement rules and verify that the resulting XML structures match.","3","Configured XML Files Match","Module Examples","2026-09-10","passed","2026-09-10","Xml Comparison","Xml","",""
"","4560","Carol Books UI Automation","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Parallel","",""
"Translation preserves mask compatibility; candidate and reference still have unmasked differences.","808","Translated Legacy Masks Work With The Visual Engine","","2026-09-10","passed","2026-09-10","Mask Translation","PDF Examples","",""
"","1783","Bob Books API Testing","UI Examples","2026-09-10","passed","2026-09-10","Bookings","Sequential","",""
"Switch the browser offline, verify the visible failure, then restore connectivity and retry the same operation.","879","Offline Failure Is Visible And The Same Action Recovers Online","UI Examples","2026-09-10","passed","2026-09-10","05 Contexts And Network Edge Cases","UI components","",""
"Two equivalent XML elements with reordered attributes must compare equal.","1","Attribute Order Does Not Affect Equality","Module Examples","2026-09-10","passed","2026-09-10","Xml Comparison","Xml","",""
"Shared text and area masks intentionally exclude dynamic content before pixel comparison.","19","Configured Masks Ignore Dynamic Text And Graphics","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"","276","Second local page","Module Examples","2026-09-10","passed","2026-09-10","Browser Composition","Data-Driven","",""
"Each group represents one coherent part of the same business journey.","1799","Medium Level - Booking Is Composed From Reusable Action Groups","UI Examples","2026-09-10","passed","2026-09-10","01 Keyword Levels","UI components","",""
"A domain expert reads the intention; the keyword expands into medium then low steps.","1869","High Level - Participant Books A Workshop In Business Language","UI Examples","2026-09-10","passed","2026-09-10","01 Keyword Levels","UI components","",""
"Browser's Evaluate JavaScript uses the existing context, including the current DOM.","284","JavaScript Reads The Current Browser Page","UI Examples","2026-09-10","passed","2026-09-10","06 Javascript In Browser","UI components","",""
"Catch an intentional mismatch and confirm the persisted report contains type information for both sides.","4","Assertion Writes A Useful Failure Report","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"","4","Zero","Module Examples","2026-09-10","passed","2026-09-10","Standalone","Data-Driven","",""
