"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","714","Logging Example - Browser Test With Logging","","Fri Mar 20 15:41:45 UTC 2026","passed","Fri Mar 20 15:41:46 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","2561","High Example (Project A)","","Fri Mar 20 15:40:48 UTC 2026","passed","Fri Mar 20 15:40:50 UTC 2026","Highexample","Tests Gherkin Generated","",""
"","246","Logging Example - Variable Logging","","Fri Mar 20 15:41:46 UTC 2026","passed","Fri Mar 20 15:41:47 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","18716","Fahrzeugdaten und optische Daten erfassen (data driven) [2]","","Fri Mar 20 15:41:11 UTC 2026","failed","Fri Mar 20 15:41:30 UTC 2026","Huk-Autowelt-Data-Driven-Outline-Demo","Tests Gherkin Generated","",""
"","1127","Playwright Via Browser - Evaluate JS (Same Session)","","Fri Mar 20 15:41:51 UTC 2026","passed","Fri Mar 20 15:41:52 UTC 2026","Playwrightexample","Tests Gherkin Generated","",""
"","39832","HUK Autowelt LowKeys Demo","","Fri Mar 20 15:40:42 UTC 2026","failed","Fri Mar 20 15:41:22 UTC 2026","Autowelt-Lowkeys","Tests Gherkin Generated","",""
"","20018","Fahrzeugdaten und optische Daten erfassen","","Fri Mar 20 15:41:23 UTC 2026","failed","Fri Mar 20 15:41:43 UTC 2026","Huk-Autowelt-Demo-Flow","Tests Gherkin Generated","",""
"","375","Playwright Direct Example - H1 Text And PDF (Chromium)","","Fri Mar 20 15:41:52 UTC 2026","skipped","Fri Mar 20 15:41:53 UTC 2026","Playwrightexample","Tests Gherkin Generated","",""
"","35793","HUK noRouting LowKeys Demo","","Fri Mar 20 15:41:31 UTC 2026","failed","Fri Mar 20 15:42:07 UTC 2026","Huk-Norouting","Tests Gherkin Generated","",""
"","895","Logging Example - All Log Levels","","Fri Mar 20 15:41:44 UTC 2026","passed","Fri Mar 20 15:41:45 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","829","Run interface with two documents","","Fri Mar 20 15:41:49 UTC 2026","failed","Fri Mar 20 15:41:50 UTC 2026","Pdf-Visual-Comparison","Tests Gherkin Generated","",""
"","2065","Example Domain Title From CSV","","Fri Mar 20 15:40:42 UTC 2026","passed","Fri Mar 20 15:40:44 UTC 2026","Data-Driven-Example","Tests Gherkin Generated","",""
"","293","Logging Example - Data Processing Loop","","Fri Mar 20 15:41:46 UTC 2026","passed","Fri Mar 20 15:41:46 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","1323","Wrapper Click Demo (Project A)","","Fri Mar 20 15:40:45 UTC 2026","passed","Fri Mar 20 15:40:47 UTC 2026","Example","Tests Gherkin Generated","",""
"","788","Run textual PDF comparison","","Fri Mar 20 15:41:48 UTC 2026","failed","Fri Mar 20 15:41:48 UTC 2026","Pdf-Text-Comparison","Tests Gherkin Generated","",""
"","265","Logging Example - Error Handling","","Fri Mar 20 15:41:46 UTC 2026","passed","Fri Mar 20 15:41:46 UTC 2026","Logging-Example","Tests Gherkin Generated","",""
"","19046","Fahrzeugdaten und optische Daten erfassen (data driven) [1]","","Fri Mar 20 15:40:52 UTC 2026","failed","Fri Mar 20 15:41:11 UTC 2026","Huk-Autowelt-Data-Driven-Outline-Demo","Tests Gherkin Generated","",""
