"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Apply the owned tag-filter/replacement rules and verify that the resulting XML structures match.","4","Configured XML Files Match","Module Examples","2026-09-10","passed","2026-09-10","Xml Comparison","Xml","",""
"Translation preserves mask compatibility; candidate and reference still have unmasked differences.","805","Translated Legacy Masks Work With The Visual Engine","","2026-09-10","passed","2026-09-10","Mask Translation","PDF Examples","",""
"Fetch an authenticated order. Ignore only the technical trace ID; business data must match.","10","JSON Response Matches Business Fields","","2026-09-10","passed","2026-09-10","01 Http Json Xml","API Examples","",""
"Modify a tag and remove the debug element on a returned copy before checking the result.","2","Runtime XML Keywords Set And Remove Tags","Module Examples","2026-09-10","passed","2026-09-10","Xml Comparison","Xml","",""
"Shared text and area masks intentionally exclude dynamic content before pixel comparison.","23","Configured Masks Ignore Dynamic Text And Graphics","","2026-09-10","passed","2026-09-10","Visual Comparison","PDF Examples","",""
"","4","Zero","Module Examples","2026-09-10","passed","2026-09-10","Standalone","Data-Driven","",""
"Browser's Evaluate JavaScript uses the existing context, including the current DOM.","458","JavaScript Reads The Current Browser Page","UI Examples","2026-09-10","passed","2026-09-10","06 Javascript In Browser","UI components","",""
"The provider returns a documented 422, but the sent request still violates the required product field.","55","Invalid Consumer Request Is Detected","","2026-09-10","passed","2026-09-10","02 Openapi Contract","API Examples","",""
"Method, query, header and JSON body must match the declaration; then verify exactly one call.","1856","JSON Request Matching And Call Verification","","2026-09-10","passed","2026-09-10","03 Wiremock","API Examples","",""
"Change an ID and remove a debug field on a returned copy, then assert the expected JSON.","2","Runtime Keywords Return A Modified Copy","Module Examples","2026-09-10","passed","2026-09-10","Json Finalisation","Json","",""
"A domain expert reads the intention; the keyword expands into medium then low steps.","1925","High Level - Participant Books A Workshop In Business Language","UI Examples","2026-09-10","passed","2026-09-10","01 Keyword Levels","UI components","",""
"Accept the confirmation dialog and verify the booking is cancelled.","391","Confirmation Can Be Accepted To Cancel The Booking","UI Examples","2026-09-10","passed","2026-09-10","04 Modern Browser Controls","UI components","",""
"Fetch XML over HTTP and filter its technical trace tag using the owned XML module.","6","XML Response Uses Existing Tag Filters","","2026-09-10","passed","2026-09-10","01 Http Json Xml","API Examples","",""
"Validate the actual request and response: operation, security header, status, media type and field types.","296","Real Provider Meets OpenAPI Contract","","2026-09-10","passed","2026-09-10","02 Openapi Contract","API Examples","",""
"The contract requires a product string in the POST body and a created order in the 201 response.","29","Create Operation Meets Request And Response Contract","","2026-09-10","passed","2026-09-10","02 Openapi Contract","API Examples","",""
"","337","Second local page","Module Examples","2026-09-10","passed","2026-09-10","Browser Composition","Data-Driven","",""
"Exercise the basic equality result before adding filters or runtime modifications.","3","Equal JSON Documents Produce No Differences","Module Examples","2026-09-10","passed","2026-09-10","Json Comparison","Json","",""
"Model a 503 response and a slow dependency; verify both explicit error handling paths.","1762","Service Failure And Timeout Are Testable","","2026-09-10","passed","2026-09-10","03 Wiremock","API Examples","",""
"Demonstrate Playwright actionability waiting against a disabled control, with no fixed sleep in the test.","1191","Click Automatically Waits Until A Delayed Button Is Enabled","UI Examples","2026-09-10","passed","2026-09-10","03 Forms And Playwright Waiting","UI components","",""
"","4","Negative","Module Examples","2026-09-10","passed","2026-09-10","Standalone","Data-Driven","",""
